model,domain,acc,n,meta_i2r,mi_lo,mi_hi,p_perm,auroc2,a_lo,a_hi,null_mean
Llama-3-Instruct,History & Politics,0.5336538461538461,1248,0.2608190455360288,0.2270629904831432,0.3053796870711429,0.000999000999000999,0.8224384177992425,0.8015589534510695,0.8440692717443734,0.004108044388038369
Llama-3-Instruct,Arts & Literature,0.5089974293059126,1167,0.32565397453808737,0.2867429931148987,0.3760275359069744,0.000999000999000999,0.8543506619422849,0.8320868973573486,0.8741813079409049,0.004322377117295605
Llama-3-Instruct,Geography,0.6251874062968515,667,0.24834130721819098,0.20361188279172224,0.3094647239080438,0.000999000999000999,0.8192230215827339,0.7860372937936569,0.8487631430171008,0.007904955879842177
Llama-3-Instruct,Science & Technology,0.5441640378548895,634,0.1619737440885749,0.12627365648238426,0.2115879125162275,0.000999000999000999,0.7436337194724437,0.7051635044639493,0.7796962393991921,0.007751199768926597
Mistral-Instruct,History & Politics,0.4126602564102564,1248,0.3077928086011687,0.26683520195511773,0.3593632052299958,0.000999000999000999,0.8462006119286348,0.8222948712724965,0.8675612177786493,0.0041044243862773935
Mistral-Instruct,Arts & Literature,0.40959725792630675,1167,0.33672010925354146,0.2953633290756435,0.38708180231247724,0.000999000999000999,0.8626594846694318,0.8411734996769519,0.8820536054047584,0.004595045033341684
Mistral-Instruct,Geography,0.5382308845577212,667,0.3149426911695616,0.26496287964795834,0.3826949689814754,0.000999000999000999,0.8460867127301668,0.8149135377790695,0.8734571242211442,0.007482415083675128
Mistral-Instruct,Science & Technology,0.38485804416403785,634,0.2863027025380283,0.23239496441445698,0.3640714498631086,0.000999000999000999,0.8295134510298444,0.7935767492260218,0.8639264587218421,0.008344469309590223
Llama-3-Base,History & Politics,0.4238782051282051,1248,0.2777326318170697,0.24000941451431196,0.32023598437108436,0.000999000999000999,0.8333605012212404,0.8100270064565986,0.853192746003816,0.004171870242147179
Llama-3-Base,Arts & Literature,0.4301628106255356,1167,0.3299577206282299,0.29056185450488203,0.38114797151489177,0.000999000999000999,0.8598613066530869,0.8393328455143663,0.8799618705108739,0.004403774793240684
Llama-3-Base,Geography,0.47976011994003,667,0.2595116668481032,0.21514548992911608,0.3214677212475418,0.000999000999000999,0.8178404178674351,0.7855176873045056,0.8471403114892624,0.007582223552917565
Llama-3-Base,Science & Technology,0.334384858044164,634,0.23990181729860086,0.1938077462802748,0.305264256589064,0.000999000999000999,0.8105494947688455,0.7765354326043203,0.8432150181446735,0.008591621244034283
Gemma-2-Instruct,History & Politics,0.5881410256410257,1248,0.12686939243034986,0.10048735460161243,0.16107041654373558,0.000999000999000999,0.7307806486497949,0.7043294329103137,0.7564835956244476,0.0041014832160600695
Gemma-2-Instruct,Arts & Literature,0.586975149957155,1167,0.1939930288032775,0.1602925160005406,0.2385224103245254,0.000999000999000999,0.7806448193354938,0.7540023101782397,0.8070459662276623,0.004432284015206188
Gemma-2-Instruct,Geography,0.6776611694152923,667,0.06471406706416667,0.04035746690220642,0.11243456372649155,0.000999000999000999,0.6637271043424573,0.6183474840827105,0.7071906434712834,0.008343659765544572
Gemma-2-Instruct,Science & Technology,0.613564668769716,634,0.08355247032320182,0.05536356944495129,0.1366089149840628,0.000999000999000999,0.6981637899375689,0.6574817229632497,0.7383874393131287,0.008103642998546169
